Key Ingredient,Product Rank,Product Name,Brand,Price (USD),Product Score
Face Mask,1,"Grace & Stella Retinol Under Eye Patches For Puffy Eyes And Dark Circles - Restoring Gel Under Eye Masks With Hyaluronic Acid - Vegan Cruelty-Free Skincare, Birthday Gifts For Women (Purple, 24 Pairs)",grace & stella,$39.98,214
Face Mask,2,"Grace & Stella Retinol Under Eye Patches For Puffy Eyes And Dark Circles - Restoring Gel Under Eye Masks With Hyaluronic Acid - Vegan Cruelty-Free Skincare, Birthday Gifts For Women (Purple, 24 Pairs)",grace & stella,$39.98,214
Face Mask,3,"Medicube Salmon DNA PDRN Pink Peptide Serum, Pink Glow Serum, Peptide, Niacinamide, Hydrating & Moisturizing & Firming, Uneven Skin Tone, Korean Skincare 1.01 Floz (1.01 Floz, Salmon DNA PDRN)",medicube,$34.98,200
Pore Cleansing Strips,1,Mighty Patch Original Patch From Hero Cosmetics The #1 Hydrocolloid Acne Pimple Patch For Shrinking Zits And Whiteheads In 1 Use; Nighttime Spot Stickers For Face And Skin (36 Count),Mighty Patch,$29.98,194
Treatment Serum,1,"Grace & Stella Under Eye Brightener Roller - Airplane Travel Essentials - Travel Size Toiletries - Retinol & Caffeine Eye Serum For Puffiness, Dark Circles, Wrinkles - Vegan Skincare (15ml / 051floz)",grace & stella,$24.98,213
Treatment Serum,2,"Medicube Salmon DNA PDRN Pink Peptide Serum, Pink Glow Serum, Peptide, Niacinamide, Hydrating & Moisturizing & Firming, Uneven Skin Tone, Korean Skincare 1.01 Floz (1.01 Floz, Salmon DNA PDRN)",medicube,$34.98,200
Treatment Serum,3,"COSRX Snail Mucin 96% Power Repairing Essence 3.38 Floz 100ml, Hydrating Serum For Face With Snail Secretion Filtrate For Dull Skin & Fine Lines, Korean Skin Care",COSRX,$34.98,167
Serums,1,"Grace & Stella Under Eye Brightener Roller - Airplane Travel Essentials - Travel Size Toiletries - Retinol & Caffeine Eye Serum For Puffiness, Dark Circles, Wrinkles - Vegan Skincare (15ml / 051floz)",grace & stella,$24.98,213
Serums,2,"Medicube Salmon DNA PDRN Pink Peptide Serum, Pink Glow Serum, Peptide, Niacinamide, Hydrating & Moisturizing & Firming, Uneven Skin Tone, Korean Skincare 1.01 Floz (1.01 Floz, Salmon DNA PDRN)",medicube,$34.98,200
Serums,3,"COSRX Snail Mucin 96% Power Repairing Essence 3.38 Floz 100ml, Hydrating Serum For Face With Snail Secretion Filtrate For Dull Skin & Fine Lines, Korean Skin Care",COSRX,$34.98,167
Gels,1,Good Molecules Yerba Mate Wake Up Eye Gel - Hydrating Under Eye Gel Cream With Hyaluronic Acid And Caffeine - Target Dark Circles And Puffiness - Skin Care For Face,Good Molecules,$19.98,178
Face Moisturizer,1,"Bio-Oil Skincare Body Oil Serum, Face And Body Moisturizer With Vitamin E & A, For Scars, Stretch Marks, Sensitive Skin, All Skin Types, Dermatologist Recommended, Non-Comedogenic, 2 Oz",Bio-Oil,$24.98,192
Face Moisturizer,2,"Eos Shea Better Body Lotion- Vanilla Cashmere, 24-Hour Moisture Skin Care, Lightweight & Non-Greasy, Made With Natural Shea, Vegan, 16 Fl Oz",eos,$24.98,143
Face Moisturizer,3,"Eos Shea Better Body Lotion- Vanilla Cashmere, 24-Hour Moisture Skin Care, Lightweight & Non-Greasy, Made With Natural Shea, Vegan, 16 Fl Oz",eos,$24.98,143
Facial Oil,1,"Bio-Oil Skincare Body Oil Serum, Face And Body Moisturizer With Vitamin E & A, For Scars, Stretch Marks, Sensitive Skin, All Skin Types, Dermatologist Recommended, Non-Comedogenic, 2 Oz",Bio-Oil,$24.98,192
Facial Oil,2,"Anua Heartleaf Pore Control Cleansing Oil, Oil Cleanser For Face, Makeup Blackhead Remover, Korean Skin Care 6.76 Fl Oz(200ml) (original)",ANUA,$34.98,141
Oils,1,"Bio-Oil Skincare Body Oil Serum, Face And Body Moisturizer With Vitamin E & A, For Scars, Stretch Marks, Sensitive Skin, All Skin Types, Dermatologist Recommended, Non-Comedogenic, 2 Oz",Bio-Oil,$24.98,192
Makeup Cleansing Oils,1,"Anua Heartleaf Pore Control Cleansing Oil, Oil Cleanser For Face, Makeup Blackhead Remover, Korean Skin Care 6.76 Fl Oz(200ml) (original)",ANUA,$34.98,141
Facial Toner,1,"Thayers Blemish Clearing Acne Pads, Salicylic Acid Acne Treatment For Face, Pore Reducing, Exfoliating, And Soothing Skincare, Witch Hazel Toner Pads, 60 Ct",THAYERS,$24.98,163
Facial Toner,2,"The Ordinary Glycolic Acid 7% Exfoliating Toner, Brightening And Smoothing Daily Toner For More Even-Looking Skin Tone, 3.4 Fl Oz",The Ordinary,$24.98,141
Facial Toner,3,"The Ordinary Glycolic Acid 7% Exfoliating Toner, Brightening And Smoothing Daily Toner For More Even-Looking Skin Tone, 3.4 Fl Oz",The Ordinary,$24.98,141
Toners & Astringents,1,"Thayers Blemish Clearing Acne Pads, Salicylic Acid Acne Treatment For Face, Pore Reducing, Exfoliating, And Soothing Skincare, Witch Hazel Toner Pads, 60 Ct",THAYERS,$24.98,163
Toners & Astringents,2,"The Ordinary Glycolic Acid 7% Exfoliating Toner, Brightening And Smoothing Daily Toner For More Even-Looking Skin Tone, 3.4 Fl Oz",The Ordinary,$24.98,141
Toners & Astringents,3,"The Ordinary Glycolic Acid 7% Exfoliating Toner, Brightening And Smoothing Daily Toner For More Even-Looking Skin Tone, 3.4 Fl Oz",The Ordinary,$24.98,141
Facial Kits,1,"Global Beauty Care Blemish Control Skincare 4-Piece Kit- Facial Cleanser (2.5oz), & Scrub (2.5oz), Spot Treatment (0.5oz) & Facial Moisturizer (1.7oz) Retinol, Vitamin C, Hyaluronic & Glycolic Acid",Global Beauty Care,$29.98,215
Facial Kits,2,"Global Beauty Care Blemish Control Skincare 4-Piece Kit- Facial Cleanser (2.5oz), & Scrub (2.5oz), Spot Treatment (0.5oz) & Facial Moisturizer (1.7oz) Retinol, Vitamin C, Hyaluronic & Glycolic Acid",Global Beauty Care,$29.98,215
Facial Kits,3,"The Acne Set, 3-Step Skin Regimen With Glucoside Foaming Cleanser, Salicylic Acid 2% Solution, And Natural Moisturizing Factors + Beta Glucan Skin Care Set",The Ordinary,$34.98,167
Masks,1,"Grace & Stella Retinol Under Eye Patches For Puffy Eyes And Dark Circles - Restoring Gel Under Eye Masks With Hyaluronic Acid - Vegan Cruelty-Free Skincare, Birthday Gifts For Women (Purple, 24 Pairs)",grace & stella,$39.98,214
Masks,2,"Grace & Stella Retinol Under Eye Patches For Puffy Eyes And Dark Circles - Restoring Gel Under Eye Masks With Hyaluronic Acid - Vegan Cruelty-Free Skincare, Birthday Gifts For Women (Purple, 24 Pairs)",grace & stella,$39.98,214
Facial Cleanser,1,"Clean Skin Club Clean Towels XL, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 50 Ct, 1 Pack",CLEAN SKIN CLUB,$34.98,186
