Product Name,Brand Name,Product Description,Price,List Price,Score,Product Images,Product ID,Source URL,Badge,Rank Name,Ingredients,Size/Volume,Skin Concern,Product Line Name,Barcode (EAN/UPC)
Mighty Patch Original Patch From Hero Cosmetics The #1 Hydrocolloid Acne Pimple Patch For Shrinking Zits And Whiteheads In 1 Use; Nighttime Spot Stickers For Face And Skin (36 Count),Mighty Patch,,2998,0,100,https://m.media-amazon.com/images/I/51Kx4Wt+VqL.jpg,02MD4PP7YJJ45,https://snapklik.com/en-gb/product/mighty-patch-original-patch-from-hero-cosmetics-the-1-hydrocolloid-acne-pimple-patch-for-shrinking-zits-and-whiteheads-in-1-use-nighttime-spot-stickers-for-face-and-skin-36-count/02MD4PP7YJJ45,Top Seller,Pore Cleansing Strips,face mask | Pore Cleansing Strips,36 Count (Pack of 1),pore,,
"Grace & Stella Under Eye Brightener Roller - Airplane Travel Essentials - Travel Size Toiletries - Retinol & Caffeine Eye Serum For Puffiness, Dark Circles, Wrinkles - Vegan Skincare (15ml / 051floz)",grace & stella,,2498,2998,74,https://m.media-amazon.com/images/I/71aa2KWHjxL.jpg,0WDC4P973JX95,https://snapklik.com/en-gb/product/grace-and-stella-under-eye-brightener-roller-airplane-travel-essentials-travel-size-toiletries-retinol-and-caffeine-eye-serum-for-puffiness-dark-circles-wrinkles-vegan-skincare-15ml-051floz/0WDC4P973JX95,Top Seller,Serums,treatment serum | Serums,15ml,,,
Good Molecules Yerba Mate Wake Up Eye Gel - Hydrating Under Eye Gel Cream With Hyaluronic Acid And Caffeine - Target Dark Circles And Puffiness - Skin Care For Face,Good Molecules,,1998,1998,82,https://m.media-amazon.com/images/I/71kaC5NIrBL.jpg,09AV4P97JK375,https://snapklik.com/en-gb/product/good-molecules-yerba-mate-wake-up-eye-gel-hydrating-under-eye-gel-cream-with-hyaluronic-acid-and-caffeine-target-dark-circles-and-puffiness-skin-care-for-face/09AV4P97JK375,Top Seller,Gels,Gels,,,,
"Bio-Oil Skincare Body Oil Serum, Face And Body Moisturizer With Vitamin E & A, For Scars, Stretch Marks, Sensitive Skin, All Skin Types, Dermatologist Recommended, Non-Comedogenic, 2 Oz",Bio-Oil,,2498,2498,100,https://m.media-amazon.com/images/I/61rtO5x7T-L.jpg,05JJ4PT7GDB55,https://snapklik.com/en-gb/product/bio-oil-skincare-body-oil-serum-face-and-body-moisturizer-with-vitamin-e-and-a-for-scars-stretch-marks-sensitive-skin-all-skin-types-dermatologist-recommended-non-comedogenic-2-oz/05JJ4PT7GDB55,Top Seller,Oils,face moisturizer | facial oil | Oils,2 Fl Oz (Pack of 1),,,
"Medicube Salmon DNA PDRN Pink Peptide Serum, Pink Glow Serum, Peptide, Niacinamide, Hydrating & Moisturizing & Firming, Uneven Skin Tone, Korean Skincare 1.01 Floz (1.01 Floz, Salmon DNA PDRN)",medicube,,3498,3498,93,https://m.media-amazon.com/images/I/615DOoCI6xL.jpg,0W064PF7FUVP5,https://snapklik.com/en-gb/product/medicube-salmon-dna-pdrn-pink-peptide-serum-pink-glow-serum-peptide-niacinamide-hydrating-and-moisturizing-and-firming-uneven-skin-tone-korean-skincare-1-01-floz-1-01-floz-salmon-dna-pdrn/0W064PF7FUVP5,,Serums,treatment serum | face mask | Serums,1.01 Fl Oz (Pack of 1),,,
"Anua Heartleaf Pore Control Cleansing Oil, Oil Cleanser For Face, Makeup Blackhead Remover, Korean Skin Care 6.76 Fl Oz(200ml) (original)",ANUA,,3498,3498,87,https://m.media-amazon.com/images/I/61nHrsCJT1L.jpg,0POJ4PD7138K5,https://snapklik.com/en-gb/product/anua-heartleaf-pore-control-cleansing-oil-oil-cleanser-for-face-makeup-blackhead-remover-korean-skin-care-6-76-fl-oz-200ml-original/0POJ4PD7138K5,Top Seller,Makeup Cleansing Oils,facial oil | Makeup Cleansing Oils,6.76 Fl Oz,,,
"Thayers Blemish Clearing Acne Pads, Salicylic Acid Acne Treatment For Face, Pore Reducing, Exfoliating, And Soothing Skincare, Witch Hazel Toner Pads, 60 Ct",THAYERS,,2498,2498,92,https://m.media-amazon.com/images/I/61nj2aXKspL.jpg,08J74PP70LO35,https://snapklik.com/en-gb/product/thayers-blemish-clearing-acne-pads-salicylic-acid-acne-treatment-for-face-pore-reducing-exfoliating-and-soothing-skincare-witch-hazel-toner-pads-60-ct/08J74PP70LO35,,Toners & Astringents,facial toner | Toners & Astringents,60 Count (Pack of 1),,,
"The Ordinary Niacinamide 10% + Zinc 1%, Smoothing Serum For Blemish-Prone Skin, 1 Fl Oz",The Ordinary,,1998,0,99,https://m.media-amazon.com/images/I/61QBAJHZNhL.jpg,07DM4PM7EWEC5,https://snapklik.com/en-gb/product/the-ordinary-niacinamide-10-zinc-1-smoothing-serum-for-blemish-prone-skin-1-fl-oz/07DM4PM7EWEC5,,Serums,treatment serum | face mask | Serums,1 Fl Oz (Pack of 1),,,
"The Acne Set, 3-Step Skin Regimen With Glucoside Foaming Cleanser, Salicylic Acid 2% Solution, And Natural Moisturizing Factors + Beta Glucan Skin Care Set",The Ordinary,,3498,0,92,https://m.media-amazon.com/images/I/71pu0nR4CGL.jpg,0I674PY7H0CL5,https://snapklik.com/en-gb/product/the-acne-set-3-step-skin-regimen-with-glucoside-foaming-cleanser-salicylic-acid-2-solution-and-natural-moisturizing-factors-beta-glucan-skin-care-set/0I674PY7H0CL5,,Facial Kits,Facial Kits,,,,
"Grace & Stella Retinol Under Eye Patches For Puffy Eyes And Dark Circles - Restoring Gel Under Eye Masks With Hyaluronic Acid - Vegan Cruelty-Free Skincare, Birthday Gifts For Women (Purple, 24 Pairs)",grace & stella,,3998,0,87,https://m.media-amazon.com/images/I/7119TnIOOpL.jpg,0IY84PX7DM1J5,https://snapklik.com/en-gb/product/grace-and-stella-retinol-under-eye-patches-for-puffy-eyes-and-dark-circles-restoring-gel-under-eye-masks-with-hyaluronic-acid-vegan-cruelty-free-skincare-birthday-gifts-for-women-purple-24-pairs/0IY84PX7DM1J5,Top Seller,Masks,face mask | Masks,,,,
